id,date,description,likes_qty,comments_qty,shared_qty,saved_qty,profile_visits,reach_qty,not_following_percentage,impression_profile,impression_home,impression_hashtags,impression_other,new_followers
6,2020-12-30,"This are my 4 rules for naming your variables. Do you agree with them?

-
🇺🇸🇬🇧
I visited an old code and I was surprised how little I could understand it, even when it was me the one who wrote it.

I tried to explain myself why was it so hard to understand this code when I do not remember having any issues when I had worked with it for the first time.

My answer was that I remembered the variables. It was not because they have clear names.

Then I took notes of which of them were clear and easy enough to understand for me.

There were patterns in the ones I did understand. Here are the rules I use to describe this good naming patterns.

I hope it can help you too! 🤗

-
🇦🇷🇪🇸
Visité un código viejo y me sorprendió lo poco que lo entendía, aún cuando yo fui el que lo escribió.

Me trate de explicar porqué me fue tan difícil de entender cuando no me acuerdo que haya sido difícil cuando trabajé con él por primera vez.

Mi respuesta fue que me acordaba de las variables. No porque tenían nombres claros.

Después, tomé notas de cuales si fueron lo suficientemente claras y fáciles .

Habían algunos patrones en las que sí pude entender. Así nacieron estas reglas que uso para nombrar mis variables.

Espero que te puedan ayudar también! 🤗",30,11,0,8,8,138,0.5,49,72,29,2,2
9,2021-01-02,"SMART are rules to use when setting objectives. In this post I explain them with examples for clarity. Try to use them when setting your goals for 2021! Comment what these goals are.

-

🇺🇸🇬🇧
Setting goals is not that simple.

You have to have one that motivates you, not impossible, and as concrete as possible in order to inspire you to keep working towards it and stay consistent.

Otherwise you will be very tempted to give up. To help you set good goals you can use the SMART rules.

SMART stands for Specific Measureable Achievable (or Attainable) Relevant and Time-bound.

When you set goals using these rules you are less likely to give up on them.

Good luck with all your goals this 2021! 🤗💪

-

🇦🇷🇪🇸
Establecer metas no es tan simple.

Tenés que tener uno que te motive, no imposible, y lo más concreto posible para que te inspire en seguir trabajando hacia él y mantenerse consistente.

Sino vas a estar muy tentado a rendirte. Para ayudarte a hacer buenos objetivos podés usar las reglas SMART.

SMART significa Especifico Medible Realizable Relevante y limitado en el Tiempo (por sus siglas en inglés).

Cuando uses metas creadas con estas reglas es menos probable que te rindas.

Éxitos con tus objetivos para el 2021! 🤗💪",29,2,0,2,3,121,0.42,37,65,31,2,0
7,2020-12-31,"These are some project ideas I had in mind for beginners. Have you tried one of these yet?

-
🇺🇸🇬🇧
I have realized there are a lot of C beginners between my followers. So this one is for you guys!

-
🇦🇷🇪🇸
Me di cuenta que hay muchas personas aprendiendo C entre mis seguidores. Esta publicación es para ustedes!",32,2,1,6,3,140,0.45,51,69,32,4,0
11,2021-01-04,"Check out this 8 basic Linux terminal commands every programmer should know!

-

🇺🇸🇬🇧

Inspired in my previous post about starting to learn programming, I remembered my beginnings

My first class related to programming in university was about the Linux terminal

So I thought about leaving some of the most basic (and commonly used) commands with visual examples

I hope you learn from this! 😁

-

🇦🇷🇪🇸

Inspirado en mi publicación anterior sobre aprender a programar, me acordé de mis comienzos

Mi primera clase relacionada a programación en la universidad fue sobre la terminal de Linux

Así que pensé en dejarles algunos de los comandos mas básicos (y más comunes) con ejemplos visuales

Espero que puedan aprender algo de esto! 😁",32,7,1,5,4,128,0.42,44,75,32,5,1
12,2021-01-05,"In this post I try to explain, as quick and simple as possible, the most common databases models and show you three examples for each. Which ones did you know?

-

🇺🇸🇬🇧

Not all databases were made equal, but there is no a clear winner for everything

This is why you should know different databases and what they are good for

You can even consider having different databases for different parts of the same application to boost its performance

The databases are usually categorized by how can they be represented visually (and usually thats the same way they are implemented)

There also are some databases that are called ""multi-model""

This means they can store data in more than one model

-

🇦🇷🇪🇸

No todas las bases de datos fueron hechas iguales, pero no hay un claro ganador para todos los casos

Por esto deberías conocer las diferentes bases de datos y donde son más útiles

Hasta podrías considerar tener distintas bases de datos para distintas partes de la misma aplicación para mejorar su performance

Las bases de datos generalmente son categorizadas por como se pueden representar visualmente (y generalmente también son implementadas de la misma manera)

También hay bases de datos llamadas ""multi-modelo""

Esto significa que pueden guardar datos en más de un modelo.",41,1,1,9,4,177,0.49,54,90,78,4,2
13,2021-01-06,"Follow the story of Cody & Ruben. Can you relate with Cody?

-

🇺🇸🇬🇧

Tutorial Hell is a common issue between new (and not that new) programmers

It is when the programmer does not complement the tutorial with a project to fully learn the concept he or she is trying to learn

Ruben compared the tutorial with a theory class and the project as an exercise

Both are very importants part of learning

-

🇦🇷🇪🇸

El infierno del tutorial es un problema comun entre programadores nuevos (y no tan nuevos también)

Es cuando un programador no complementa el tutorial con algun proyecto para aprender totalmente el concepto que él o ella está tratando de aprender

Ruben comparó el tutorial con una clase de teoría y al proyecto como un ejercicio

Ambos son partes muy importantes para aprender
",37,9,2,3,8,144,0.38,53,109,30,6,0
52,2021-03-08,"🇺🇸🇬🇧

People tend to think that incognito mode or private browsing does more things that it actually does

I decided to break some misconceptions about it

You should never use incognito mode to surf anonymously

If that's your case, I recommend looking to my posts about onion routing or vpn

Stay safe!

-

🇦🇷🇪🇸

Las personas suelen pensar que el modo incognito o navegación privada hace más cosas que las que realmente hace

Decidí desmentir algunos mitos sobre esto

Nunca deberias usar el modo incognito para navegar anonimamente

Si ese es tu caso, recomiendo que veas mis publicaciones sobre enrutado en cebolla o vpn

Mantente a salvo!",30,2,0,3,3,207,0.3,44,165,35,1,0
14,2021-01-08,"The easiest way to secure your data from others is by using a VPN. In this post I will try to show you how does it work and why can it help you.

-

🇺🇸🇬🇧

VPN stands for Virtual Private Network

It can help you by encrypting your data inside your network (Extremely important if you are connected to public networks like in a cafe or airport)

But also prevents that sites and the internet can know your IP address

You can exploit this and change the country where your requests come from (Sites may vary prices and content from country to country)

The biggest downsides are that the best ones cost money and also it can be a bit slower than the usual connection

-

🇦🇷🇪🇸

VPN significa Red Privada Virtual (por sus siglas en inglés)

Te puede ayudar encriptando tus datos dentro de tu red (Muy importante si estás conectado a una red pública como puede ser la de un aeropuerto o una cafetería)

Pero tambien previene que sitios o la internet pueda saber tu dirección IP

Podés abusar de esto para simular estar en otro país (Los sitios pueden variar sus precios y contenidos según el país en el que estás)

La mayor desventaja que tiene usar VPN es que los mejores cuestan dinero y puede ser que tu conexión sea más lenta",36,13,2,5,8,187,0.52,46,98,83,6,2
15,2021-01-15,"Everyday we see webpages in our browsers, but how are they made? What does the browser read? I will try to explain that as simple as possible in this post.

-

🇺🇸🇬🇧

A web page has three main components: HTML, CSS and JavaScript

HTML (HyperText Markup Language) is in charge of declaring what are the elements on the page. Here there will be static information and the global hierarchy

CSS (Cascading Style Sheets) describes how does each element should look. Things like colours, margins and font go here.

JS (JavaScript) will say how each element should interact with the user. For example, what should a button do, how the content in the web page should change and how to process some data that the user entered.

Each component has its own role in a web page.

-

🇦🇷🇪🇸

Una página web tiene tres componentes principales: HTML, CSS y JavaScript

HTML (Lenguaje marcado de hipertexto por sus siglas en inglés) está a cargo de declarar que elementos hay en la página. Acá habrá información estática y la jerarquía global.

CSS (Hojas de estilos en cascada por sus siglas en inglés) describe como cada elemento debería verse. Cosas como color, margenes y fuente van aquí.

JS (JavaScript) dice como cada elemento interactúa con el usuario. Por ejemplo, qué tiene que pasar cuando se clickea un botón, cómo tiene que cambiar el contenido de la página y también cómo procesar datos ingresados por el usuario.

Cada componente tiene su propio rol en un página web.",45,13,1,7,2,134,0.28,29,98,25,3,2
16,2021-01-16,"Probably everyday we use a web browser at least once. This are the most popular ones. Which one do you use?

-

🇺🇸🇬🇧

When accessing the internet most people use a web browser.

The most common ones are:

1. Chrome
2. Safari
3. Internet Explorer & Edge
4. Firefox
5. Opera

There some more web browsers too. Do you know them?

-

🇦🇷🇪🇸

Al acceder a internet la mayoría de las personas utilizan un navegador.

Los más comunes son:

1. Chrome
2. Safari
3. Internet Explorer & Edge
4. Firefox
5. Opera

Hay algunos navegadores más. Los conocés?",30,5,0,4,3,143,0.22,33,127,14,1,1
17,2021-01-17,"Libraries take part of almost every project. Did you know that Maven can help you manage all those libraries (also known as dependencies)?

-

🇺🇸🇬🇧

The bigger the project there will probably be more dependencies to work with

It is very annoying remembering which version of which library you need for your project

Even if you can remember them all you need to look for them and downloading them one by one

Here is where Maven comes to solve the problem

You will have a pom.xml with all the needed things to identify the dependency

Then you only need to run one command in that directory and Maven will download everything for you

-

🇦🇷🇪🇸

Mientras más grande el proyecto, probablemente más dependencias con las que tengas que trabajar

Es muy molesto tener que estar acordandose que versión de que librería necesitás para tu proyecto

Aún si podés acordarte de todas, tenés que buscar y descargar una por una

Acá es cuando viene Maven a resolver el problema

Lo único que tenés que hacer es escribir todas las cosas necesarias para identificar la dependencia en un pom.xml
Después tenés que correr un solo comando en ese directorio y Maven descargará todo para vos",28,7,1,5,2,157,0.31,29,121,34,6,0
18,2021-01-18,"Testing your code is one of the best practices out there. Unit testing is one of the most common ways of testing. Have you ever done it?

-

🇺🇸🇬🇧

Unit testing tests the tiniest part of code

Making sure that code works as it should

This is very efficient to know exactly where are the bugs

Good tests are the key to build high quality code

The more tests you make the more sure you can be that your code will not contain bugs

-

🇦🇷🇪🇸

Los tests unitarios prueban la parte más pequeña de código que pueden

Esto verifica que el código testeado funcione como debería

Es muy eficiente para ver donde se encuentras las fallas exactamente

Buenos tests son la clave para crear código de alta calidad

Mientras más tests hagas, más seguro podés estar que tu código no va a tener fallas",30,3,2,3,6,123,0.22,31,108,16,2,0
19,2021-01-19,"Phishing is one of the most common scamming techniches. Is it used to obtain usernames, passwords and credit cards. The person that is trying to scam you will disguise claiming to be a trustworthy entity such as a big company or your bank. Have you ever been a victim of this before?

-

🇺🇸🇬🇧

Phishing is used to decieve users in order to obtain sensitive data from them

Distracted or not aware users can be easily tricked and lose accounts or even money

You can prevent this by being careful with which links you click or where you put your information

Stay safe in the web!

-

🇦🇷🇪🇸

Phishing es usado para engañar a los usuarios para obtener información sensible de ellos

Usuarios distraídos o no conscientes pueden ser facilmente engañados y perder cuentas y hasta dinero

Podés prevenir esto estando atento y teniendo cuidado con que hipervínculos cliqueas o donde ingresas tu información

Tené cuidado en la red!",30,8,0,4,2,128,0.15,26,131,11,2,0
20,2021-01-20,"When starting to code one of the first things people encounter is that there are LOTS of programming languages to choose from. This makes people ask which one is better causing analysis paralysis. I will try to help you with this choice 😊

-

🇺🇸🇬🇧

You may be wondering why there are so many programming languages

It is because they want to solve the limitations of other languages

This makes some languages very good for some specific areas

You can start learning a language aiming on what area you want to focus

Here I leave a ""cheatsheet"" that contains which languages you can learn depending on which areas you want to focus

What language will you learn?

Happy coding!

-

🇦🇷🇪🇸

Podés estar preguntandote porque hay tantos lenguajes de programación

Es porque surgen para resolver las limitaciones de otros lenguajes

Esto hace que haya lenguajes muy buenos para areas específicas

Acá dejo un ""machete"" que tiene que lenguajes son mejores dependiendo de en que area querés enfocarte

Que lenguaje vas a aprender?

Éxitos programando",39,8,0,14,4,236,0.44,35,141,97,7,0
23,2021-01-23,"Hash functions are used a lot by programmers. Their most common use in cybersecurity but hashtables use them too. Do you know what a hash function is?

-

🇺🇸🇬🇧

A hash function makes everything to a number

Good hash functions have the following properties:

- Deterministic: Same input gives same output
- Fast: The algorithm should be quick enough
- Irreversible: It shouldn't be possible to make an inverse function
- Avoid collisions: Different messages with same value should be very rare
- ""Random"" distribution: A small change to the message should give a totally different value

Probably I will make references to this post in the future so make sure to save it!

-

🇦🇷🇪🇸

Una función hash transforma todo a un número

Buenas funciones hash tienen las siguientes propiedades:

- Determinista: Misma entrada genera la misma salida
- Rápido: Debe ser lo suficientemente veloz
- Irreversible: No debe ser posible hacer una función inversa
- Evitar colisiones: Mensajes diferentes con el mismo valor deberían ser muy raros
- Distribución ""aleatoria"": Un pequeño cambio en el mensaje debería dar un valor totalmente distinto

Probablemente voy a hacer referencias a este post en el futuro así que asegurate de guardarlo",33,1,0,5,2,153,0.28,21,135,25,6,1
24,2021-01-24,"Any programmer can tell you that data structures are very important. That is why I decided to make a series of posts explaining basic data structures for you to understand them easier. Today is the linked list's turn.

-

🇺🇸🇬🇧

A linked list is one of the most common and simple data structures

It consists of chaining the elements with one another using pointers

As everything, this comes with its pros and cons

Good programmers will know when to use each data structure

But to choose correctly you first need to know your toolset!

-

🇦🇷🇪🇸

Una lista encadenada es una de las estructuras de datos más comunes

Consiste en encadenar elementos entre si usando punteros

Como todo, esto viene con sus pros y contras

Buenos programadors sabrán cuando usar cada estructura de datos

Pero para elegir correctamente, primero necesitas conocer tu caja de herramientas!",35,2,1,6,7,150,0.3,21,114,37,5,1
25,2021-01-25,"I love watching people improve in coding. There are a couple of you that have been sending me C questions. For those of you that are starting with C, I recommend trying to do this project. I made the code myself to help you understand exactly what you should be aiming with this project. You can ask me for the code by DMs!

-

🇺🇸🇬🇧

The hangman is a game I think everybody played at least once

It is not a complex game but programming it might take some time

In this project you will need to validate user input, manage arrays, and even have fun with the ASCII art

My DMs are open if you need help

Good luck!

-

🇦🇷🇪🇸

El ahorcado es un juego que creo que todos jugamos alguna vez

No es un juego complejo pero programarlo puede llevar tiempo

En este proyecto, vas a tener que validar la entrada del usuario, manejar arreglos y hasta divertirte con el arte de ASCIIs

Podés mandarme un DM si necesitás ayuda

Suerte!",36,2,1,4,11,154,0.31,28,115,36,3,0
26,2021-01-26,"UX is not something every programmer learn about. However, I consider it a key factor to bring applications to the next level. I want to encourage you to have this in mind the next time you build an application.

-

🇺🇸🇬🇧

UX (User experience) objective is to focus on the users

Think about it, who will be using your application after all?

You want to solve problems

If you make the solution hard, you will be creating even more problems

It has no use if your application can do something nobody knows it can or can't find it

Let your users have a better time using your applications by offering more valuable functionalities and be easy to use them

-

🇦🇷🇪🇸

El objetivo de UX (Experiencia del usuario) es enfocarse en el usuario

Pensá esto, quién va a estar usando tu aplicación después de todo?

Vos querés resolver problemas

Haciendo tu solución dificil, solo estarías creando más problemas

No tiene sentido que tu aplicación pueda hacer algo si nadie lo sabe o puede encontrarlo

Dejá que tus usuarios la pasen mejor usando tus aplicaciones ofreciendoles funcionalidades mas valiosas para ellos y que sean faciles de usar",38,1,0,3,1,167,0.31,24,125,41,3,0
27,2021-01-27,"Podcasts are a trending communication way. I made my research between more than 30 podcasts and made this list of podcasts for programmers to you. I hope you enjoy them!

-

General Coding

> The Stack Overflow Podcast
> Command Line Heroes: @redhatinc
> Ladybug Podcast
> Javascript Jabber: @devchat.tv

-

Soft skills for programmers

> Complete Developer Podcast: @completedeveloperpodcast
> Developer Tea: @developertea
> Simple Programmer Podcast: @simpleprogrammer
> Soft Skills Engineering

-

Software Engineering

> Coding Blocks
> Software Engineer Radio
> CodePen Radio: @codepen
> Coder Radio

-

Beginners

> CodeNewbie: @codenewbies

Mobile

> Fragmented - The Software Podcast: @donnfelker
> Inside Facebook Mobile: @insidefbmobile

Web Development

> Syntax - Tasty Web Development Treats: @wesbos & @stolinski

-

Artificial Intelligence

> In Machines We Trust: @technologyreview

Data Science

> SuperDataScience

Cybersecurity

> Darknet diaries: @darknetdiaries
> Hackable?: @mcafee

-

Coding Enterpreneurship

> Indie hackers

Python and related

> Test & Code: Python Testing for Software Engineering

Frontend

> Front end happy hour: @frontendhh
> ShopTalk

-

Spanish

> Codearmy: @codearmyco
> Metadata: @rppnoticias
> Command Line Heroes en español: @redhatinc
",39,6,4,19,3,224,0.36,79,166,13,14,0
28,2021-01-28,"You seemed to like the previous code challenge, so here you have another one. Also, here I explain in detail the correct answer of the previous challenge from last week. Have fun with this one! It's a bit tricky 😆",31,6,0,3,3,212,0.43,28,133,80,2,0
29,2021-01-29,"Docker is a very popular tool right now. It can help you to make a portable program by running it in containers. If you ever need that please consider using Docker.

-

🇺🇸🇬🇧

Docker automatizes the deployment of applications in containers

Containers are a software package that includes any dependency the application may need to run

This makes your application independent from the platform that is running on

Docker will take the container and know exactly how it should run

I hope now you know a bit more about this trending tool

-

🇦🇷🇪🇸

Docker automatiza el despliegue de aplicaciones en contenedores

Los contenedores son paquetes de software que incluyen cualquier dependencia que la aplicación pueda necesitar para ejecutarse

Esto hace que tu aplicación se independiente de la plataforma en la que se está corriendo

Docker va a agarrar ese contenedor y saber exactamente como debería correrlo

Espero que ahora sepas un poco más de esta herramienta popular",32,2,3,7,2,175,0.28,36,138,40,5,0
30,2021-01-30,"Yet another post related to cybersecurity. Today I want to explain you as easy as possible how onion routing works. There is so much interesting information about this but so limited space to put it in. I hope you can get at least some new information about this here. If you are interested in this topic and want to learn in depth, DM me!

-

🇺🇸🇬🇧

Tor browser is becoming more and more popular as people begin to acknowledge about their privacy online

Tor browser is a browser built over Mozilla Firefox that implements onion routing

Onion routing is a method developed by the US Navy in the 90s to protect their online communications

It uses several layers of encryption over the data, that needs to go through several computers before reaching the web page to decrypt it

Did you know that Tor actually stands for The Onion Router?

-

🇦🇷🇪🇸

Tor browser está volviendose más y más popular porque las personas empiezan a concientizarse sobre su privacidad en linea

Tor browser es un navegador construido sobre Mozilla Firefox que implementa enrutamiento cebolla

Enrutamiento cebolla es un metodo desarrollado por la marina estadounidense en los 90 para proteger sus comunicaciones en linea

Usa varias capas de encriptacion sobre la informacion que se envia, que debe pasar a través the varias computadoras antes de llegar a la pagina web de destino

Sabías que Tor en realidad es un acrónimo de The Onion Router (El enrutador cebolla en inglés)?",24,3,0,1,3,146,0.26,29,123,26,1,0
31,2021-01-31,"Let's continue with the data structures series! Today I will give you a summary about arrays

-

🇺🇸🇬🇧

An array is by far the most basic of data structures

It consists in a continuous piece of memory with the elements one after the other

It is great for random accessing and it occupies the least memory as possible

However, the insert and remove are affected

Do you know strings are actually arrays of chars?

-

🇦🇷🇪🇸

Un arreglo es por mucho la estructura de datos más basica

Consiste en un pedazo de memoria contigua con los elementos uno después del otro

Es muy bueno para acceder a un elemento en particular y ocupa la menor cantidad de memoria posible

Sin embargo, la inserción y eliminar un elemento se ven afectados

Sabías que un string es en realidad un arreglo de caracteres?",29,4,0,7,1,188,0.35,26,135,51,1,0
32,2021-02-01,"Second challenge: DONE ✅. I thought this would take a while but it actually ended quite good. I remember doing this exercise when I was first learning programming about 3 years ago. I don't have the code I did back then, but I am sure this new code is MUCH better. Please give this a try too! 😉

-

🇺🇸🇬🇧

Word-search is a game that usally appears on magazines

It can be solved using an algorithm easily

In this project, you will have to deal with arrays and even matrixes (remember matrixes are just arrays of arrays)

You can send me a DM if you need help!

-

🇦🇷🇪🇸

La sopa de letras es un juego que suele aparecer en revistas

Puede resolverse facilmente usando un algoritmo

Para este proyecto, vas a tener que manejar arreglos y hasta matrices (acordate que las matrices son arreglos de arreglos)

Podés mandarme un DM si necesitás ayuda!",37,1,1,10,4,195,0.27,30,164,38,3,0
33,2021-02-02,"I considered very important to know the manifesto and understand it to understand correctly agile development. Probably in the future I will give some examples of methodologies that are considered agile. But first let's understand their principles

-

🇺🇸🇬🇧

If ever get the chance to work in a software company, you will probably work with an agile methodology

Agile methodologies focus on continuous delivery, every part of the team working in the same room (not only developers), and keep improving iteration by iteration

The agile manifesto tries to express this and even explaining why each principle is beneficial for the team

I hope you can find some value in this 😄

-

🇦🇷🇪🇸

Si alguna vez tenés la oportunidad de trabajar en una empresa de software, probablemente vas a trabajar con una metodología ágil

Las metodologías ágiles se concentran en entregar un producto funcional continuamente, que todo el equipo trabaje en la misma mesa (no solo desarrolladores) y seguir mejorando en cada iteración

El manifiesto ágil trata de expresar esto y hasta explica por qué cada principio es beneficioso para el equipo

Espero que puedas encontrar valor en esto 😄",31,5,0,1,2,177,0.36,29,126,53,6,0
35,2021-02-04,For today's challenge I changed the universe. Welcome to Python 🐍 guys! Let's see if you can manage to solve this one!,24,1,0,1,1,135,0.19,24,125,11,3,0
34,2021-02-03,"I want to recommend you to have a look to this browser extensions. I hope you enjoy them as much as I do!

- Dark reader
- Fonts Ninja
- Wappalyzer
- Spider
- Web Developer
- LambdaTest",29,3,0,12,3,171,0.27,29,133,34,4,0
37,2021-02-11,"I will take advantage of the situation I am currently living to tell you how do I stay motivated to keep going. Hopefully this can help you keep motivated too!

-

🇺🇸🇬🇧

This last week I have been sick, with no energy for anything

But I always knew as soon as I have some energy I will resume posting daily as I like to do

I want to keep posting, I want to give information to you, I want to keep learning

Always keep your head in your goals, where you want to reach

I hope you can keep motivated during these crazy times

-

🇦🇷🇪🇸

Esta última semana estuve enfermo, sin energía para nada

Pero siempre supe que ni bien tenga algo de energía volveria a publicar diariamente como me gusta

Quiero seguir publicando, quiero seguir dandoles información, quiero seguir aprendiendo

Siempre mantengan sus cabezas en sus objetivos, donde quieran llegar

Espero que puedan seguir motivados durante estos tiempos locos
",41,8,0,5,16,231,0.25,17,204,53,1,0
36,2021-02-10,"Pokemon Go is one of the most popular games of all time. In just half a year, they managed to have 500 million downloads. But how did they survive that much traffic in so little time?

-

🇺🇸🇬🇧

Kubernetes is an open source container management tool

It is very useful for scaling applications

Without doubts is a standard in today's devops teams

If scalability is something you are considering, Kubernetes is a must use for you

-

🇦🇷🇪🇸

Kubernetes es una herramienta de codigo abierto para la administración de contenedores

Es muy útil para hacer las aplicaciones escalables

Sin dudas, es un estandar en los equipos de devops hoy

Si la escabilidad es algo que estás considerando, Kubernetes es la herramienta para vos
",29,3,1,3,1,193,0.21,20,176,35,0,0
38,2021-02-12,Heard this comparison a while a go and thought of sharing it with you. I found it funny but very true. Stay safe in the net guys!,27,5,1,4,1,202,0.22,18,179,35,3,0
